"subject"	"anxstate"	"anxtrait"	"self_esteem"	"bis"	"bas"	"dominance"	"affiliation"
"1"	2	25	28	38	13	40	69.38	88.25
"2"	3	22	34	40	16	47	38.88	94.88
"3"	4	25	51	26	21	39	60	84.25
"4"	5	29	45	29	22	32	52.63	76
"5"	6	28	47	33	23	31	41.88	78.25
"6"	7	29	47	23	22	40	37.25	77.13
"7"	8	35	43	32	21	36	47.25	56.88
"8"	9	32	34	32	17	39	46	77.25
"9"	10	34	49	33	22	32	39.88	70.63
"10"	11	33	36	36	17	32	70.5	89.63
"11"	12	39	41	32	23	42	63.25	65
"12"	13	30	41	31	22	47	67.75	93.13
"13"	14	29	40	28	17	40	62.25	55.25
"14"	15	38	62	18	25	34	32.13	64.63
"15"	16	32	48	33	22	37	48.25	84.38
"16"	17	33	64	26	25	52	46.13	53.75
"17"	18	28	42	31	18	32	46	46.25
"18"	19	32	56	23	20	40	48.88	89.13
"19"	20	29	43	40	20	45	75.88	78.25
"20"	21	20	30	35	20	38	59.75	71.13
"21"	22	30	51	28	23	33	36.63	87.75
"22"	23	43	54	28	23	33	44.75	57.25
"23"	24	48	54	36	21	41	79.5	55.5
"24"	25	32	64	23	21	31	31.38	42.75
"25"	26	24	33	38	14	39	54.75	76.38
"26"	27	26	72	23	24	37	64.88	60.38
"27"	28	25	27	39	12	35	79.38	64.5
"28"	29	34	47	24	18	37	63.13	68.88
"29"	30	29	46	36	19	41	60	89.75
"30"	31	20	27	38	19	32	43.63	59.75
"31"	32	40	37	34	22	37	26.5	59.88
"32"	33	20	26	40	15	47	80.13	68.25
"33"	34	37	55	27	25	37	34.25	48.75
"34"	35	25	44	30	23	37	71.38	70.25
"35"	36	31	37	37	22	42	70.25	81.25
"36"	37	24	38	30	23	30	36.63	59.75
"37"	38	33	34	30	23	35	53.63	83.88
"38"	39	26	43	32	18	33	58.75	74.63
"39"	40	30	43	24	24	39	55.13	77.75
"40"	41	24	43	29	14	35	47.88	72.13
"41"	42	42	47	36	19	37	81.25	72.75
"42"	43	34	49	36	19	44	33	65.13
"43"	44	29	54	31	23	39	18.63	61.75
"44"	45	27	43	36	15	42	39.25	73.63
"45"	46	44	52	26	23	42	40.38	75.38
"46"	47	29	50	27	18	29	60.13	73
"47"	48	28	43	27	23	39	47.88	86.75
"48"	49	26	33	37	17	37	82.63	86.25
"49"	50	29	36	37	18	45	57.88	60.63
"50"	51	29	42	29	18	36	49	46.63
"51"	52	23	24	35	18	28	51.5	79.25
"52"	53	28	37	34	21	39	49.75	80.13
"53"	54	NA	38	31	19	36	71.25	86.38
"54"	55	22	26	36	19	35	68.25	83
"55"	56	28	36	37	22	39	56.5	79.5
"56"	57	29	38	40	18	47	44.88	60.75
"57"	58	36	50	33	25	44	76	86
"58"	59	24	37	33	19	43	70.13	77
"59"	60	26	29	36	17	36	61.38	87.38
"60"	61	38	33	32	16	40	41.63	73.13
"61"	62	29	35	35	16	40	67.13	69.25
"62"	63	26	26	21	19	43	81.88	33.13
"63"	64	38	33	29	17	37	71.63	77.38
"64"	65	43	53	29	23	47	62.13	70.75
"65"	66	29	36	33	18	44	51.75	77.88
"66"	67	36	36	36	21	45	79	77.75
"67"	68	39	48	26	21	42	46.38	68.63
"68"	69	23	33	31	21	32	55	64.88
"69"	70	22	37	35	21	38	50.5	48.75
"70"	71	37	41	31	20	36	65	42.63
"71"	72	20	28	35	18	30	58	71.63
"72"	73	30	31	35	13	36	41.13	67.88
"73"	74	35	31	34	20	36	75.75	59.63
"74"	75	36	35	32	19	36	36.63	83.88
"75"	76	27	38	29	23	43	66.25	90.88
"76"	77	31	36	34	17	39	74.5	69.75
"77"	78	30	32	33	13	46	49.88	62.25
"78"	79	28	40	29	19	38	70.75	63.38
"79"	80	23	44	40	20	41	58.63	78
"80"	81	29	40	37	19	37	40	65.63
"81"	82	32	42	36	23	43	66.88	79.25
"82"	83	26	33	37	18	36	72.13	95.13
"83"	84	27	45	28	21	38	46.38	70.25
"84"	85	52	41	25	24	32	45.88	43.75
"85"	86	23	36	35	18	43	59.13	81.38
"86"	87	33	29	36	19	42	60.13	79.5
